"Kenmerken ","Marges ","Perioden ","Online criminaliteit Totaal slachtoffers (%)","Online oplichting en fraude Totaal slachtoffers (%)","Online oplichting en fraude Aankoopfraude
Totaal slachtoffers (%)","Verkoopfraude Totaal slachtoffers (%)","Fraude betalingsverkeer Totaal slachtoffers (%)","Identiteitsfraude Totaal slachtoffers (%)","Phishing Totaal slachtoffers (%)","Hacken Totaal slachtoffers (%)","Hacken Apparaat
Totaal slachtoffers (%)","Account Totaal slachtoffers (%)","Online bedreiging en intimidatie Totaal slachtoffers (%)","Online bedreiging en intimidatie Online bedreiging
Totaal slachtoffers (%)","Online pesten Totaal slachtoffers (%)","Online stalking Totaal slachtoffers (%)","Shamesexting Totaal slachtoffers (%)","Overige online delicten Totaal slachtoffers (%)"
"Totaal personen","Waarde","2023","15,6","9,3","6,9","1,4","1,1","0,8","0,8","5,5","2,4","4,5","2,5","0,9","0,9","0,8","0,4","0,5"
"Geslacht: Mannen","Waarde","2023","15,8","9,4","6,9","1,5","1,2","0,8","0,9","5,6","2,5","4,5","2,6","1,0","0,9","0,6","0,6","0,5"
"Geslacht: Vrouwen","Waarde","2023","15,5","9,2","6,9","1,3","1,0","0,7","0,8","5,4","2,3","4,4","2,4","0,9","0,9","1,0","0,3","0,5"
"Leeftijd: 15 tot 25 jaar","Waarde","2023","18,2","8,8","6,9","1,4","0,8","0,7","0,4","6,3","2,1","5,5","5,3","2,5","1,9","1,2","1,0","0,4"
"Leeftijd: 25 tot 45 jaar","Waarde","2023","17,0","10,1","7,3","1,7","1,2","1,0","0,8","5,8","1,7","5,2","3,0","0,9","1,2","1,1","0,6","0,5"
"Leeftijd: 45 tot 65 jaar","Waarde","2023","16,5","10,6","8,2","1,6","1,2","0,8","0,8","5,6","2,7","4,5","1,8","0,6","0,7","0,6","0,2","0,6"
"Leeftijd: 65 jaar of ouder","Waarde","2023","11,1","6,8","4,7","0,7","1,1","0,5","1,2","4,6","3,1","3,0","0,9","0,3","0,3","0,4","0,1","0,4"
"Onderwijsniveau: laag onderwijs","Waarde","2023","14,6","8,5","6,5","1,5","0,9","0,6","0,8","4,9","2,8","3,8","2,9","1,2","1,2","0,9","0,4","0,5"
"Onderwijsniveau: middelbaar onderwijs","Waarde","2023","16,5","9,9","7,4","1,4","1,0","0,9","0,8","5,9","2,7","4,8","2,5","0,8","0,9","0,9","0,5","0,5"
"Onderwijsniveau: hoog onderwijs","Waarde","2023","15,9","9,3","6,6","1,3","1,3","0,8","0,9","5,9","2,0","5,0","2,2","0,8","0,8","0,7","0,3","0,5"
"Bron: CBS."
